GAME_ID,TEAM_ABBREVIATION,PF
0021700427,NOP,15
0021700426,CHI,26
0021700427,DEN,17
0021700420,POR,20
0021700428,SAS,17
0021700421,OKC,21
0021700424,TOR,16
0021700423,UTA,20
0021700425,MEM,24
0021700422,WAS,26
0021700419,DET,22
0021700418,CHA,14
0021700433,HOU,23
0021700432,LAC,22
0021700432,MIA,15
0021700433,MIL,34
0021700434,MIN,19
0021700431,NYK,22
0021700436,BOS,19
0021700430,CLE,15
0021700435,DAL,16
0021700434,PHX,21
0021700429,POR,21
0021700435,SAS,14
0021700431,OKC,22
0021700430,UTA,14
0021700436,MEM,19
0021700429,CHA,21
0021700439,BKN,17
0021700438,ORL,16
0021700439,IND,20
0021700440,CLE,16
0021700437,SAC,19
0021700437,TOR,13
0021700440,WAS,18
0021700438,DET,17
0021700445,HOU,13
0021700449,LAC,23
0021700450,LAL,26
0021700443,MIA,28
0021700446,MIN,14
0021700441,NYK,16
0021700442,IND,16
0021700444,PHI,23
0021700443,ATL,23
0021700442,BOS,31
0021700444,CHI,16
0021700448,DAL,18
0021700447,DEN,18
0021700450,GSW,26
0021700448,PHX,25
0021700446,POR,19
0021700449,SAS,19
0021700447,OKC,13
0021700445,UTA,22
0021700441,CHA,16
0021700453,MIL,18
0021700451,PHI,19
0021700453,CLE,20
0021700452,NOP,16
0021700451,SAC,20
0021700452,WAS,31
0021700459,HOU,30
0021700465,LAC,19
0021700459,LAL,25
0021700456,MIA,16
0021700462,MIN,20
0021700457,BKN,19
0021700458,ORL,15
0021700455,IND,18
0021700455,ATL,17
0021700456,BOS,22
0021700458,CHI,23
0021700461,DAL,17
0021700462,DEN,18
0021700464,GSW,19
0021700465,PHX,25
0021700463,POR,14
0021700457,SAC,19
0021700463,SAS,16
0021700460,OKC,26
0021700454,TOR,27
0021700460,UTA,15
0021700464,MEM,23
0021700461,DET,19
0021700454,CHA,18
0021700468,NYK,20
0021700467,PHI,27
0021700468,BOS,20
0021700466,CLE,14
0021700466,CHI,19
0021700469,PHX,17
0021700470,SAS,21
0021700467,TOR,19
0021700470,UTA,18
0021700469,MEM,22
0021700475,HOU,26
0021700475,LAC,25
0021700479,LAL,23
0021700474,MIA,15
0021700476,MIL,16
0021700473,BKN,17
0021700471,NYK,20
0021700472,ORL,19
0021700477,ATL,24
0021700472,NOP,25
0021700474,DAL,12
0021700478,DEN,13
0021700479,GSW,17
0021700478,POR,19
0021700477,OKC,18
0021700473,WAS,18
0021700471,DET,11
0021700476,CHA,18
0021700487,LAC,22
0021700491,LAL,22
0021700486,MIA,19
0021700481,MIL,32
0021700490,MIN,21
0021700482,BKN,20
0021700483,ORL,22
0021700482,IND,25
0021700480,PHI,23
0021700484,ATL,19
0021700485,BOS,18
0021700486,NOP,20
0021700485,CHI,16
0021700484,DAL,17
0021700489,DEN,14
0021700489,GSW,14
0021700490,PHX,22
0021700491,POR,15
0021700492,SAC,17
0021700492,SAS,11
0021700488,OKC,16
0021700480,TOR,20
0021700488,UTA,13
0021700487,MEM,26
0021700483,WAS,18
0021700481,CHA,20
0021700496,HOU,20
0021700497,LAL,16
0021700497,MIN,13
0021700493,NYK,21
0021700493,PHI,22
0021700495,BOS,23
0021700494,CLE,19
0021700494,GSW,18
0021700496,OKC,20
0021700495,WAS,17
0021700505,LAC,13
0021700500,MIA,20
0021700501,MIL,21
0021700502,BKN,18
0021700500,ORL,20
0021700498,IND,19
0021700501,CHI,19
0021700499,DAL,24
0021700503,DEN,21
0021700504,PHX,29
0021700505,SAC,19
0021700502,SAS,14
0021700499,TOR,24
0021700503,UTA,22
0021700504,MEM,28
0021700498,DET,17
0021700515,LAL,26
0021700510,MIN,26
0021700511,BKN,18
0021700509,NYK,17
0021700507,IND,17
0021700508,ATL,21
0021700506,BOS,20
0021700513,CLE,15
0021700511,NOP,15
0021700509,CHI,15
0021700507,DAL,12
0021700510,DEN,24
0021700514,GSW,18
0021700513,SAC,19
0021700512,OKC,26
0021700512,TOR,29
0021700514,UTA,22
0021700515,MEM,20
0021700508,WAS,24
0021700506,CHA,11
0021700517,HOU,23
0021700518,MIL,18
0021700518,MIN,14
0021700519,NYK,26
0021700516,ORL,17
0021700520,PHI,26
0021700517,BOS,22
0021700520,POR,18
0021700519,SAS,18
0021700516,DET,17
0021700521,HOU,13
0021700529,LAC,21
0021700529,LAL,22
0021700523,MIA,18
0021700526,MIL,23
0021700523,BKN,23
0021700524,IND,15
0021700522,ATL,15
0021700525,NOP,19
0021700524,CHI,20
0021700525,DAL,23
0021700528,GSW,25
0021700527,PHX,19
0021700527,SAC,23
0021700526,OKC,19
0021700522,TOR,22
0021700521,WAS,15
0021700528,CHA,10
0021700531,MIA,17
0021700532,NYK,24
0021700531,ORL,20
0021700536,PHI,25
0021700533,ATL,16
0021700534,CLE,19
0021700532,NOP,19
0021700536,DEN,12
0021700535,GSW,17
0021700533,POR,18
0021700530,SAS,13
0021700534,UTA,24
0021700535,MEM,22
0021700530,DET,11
0021700540,HOU,33
0021700542,LAC,21
0021700540,LAL,32
0021700538,MIN,20
0021700539,BKN,19
0021700538,IND,18
0021700544,PHI,32
0021700539,BOS,22
0021700537,CHI,22
0021700541,DAL,18
0021700544,PHX,29
0021700543,SAC,21
0021700541,OKC,20
0021700543,MEM,21
0021700537,WAS,24
0021700542,CHA,21
0021700548,LAL,25
0021700546,MIL,23
0021700548,MIN,24
